training_loss,train_loss_ce,train_loss_bbox,train_loss_giou,train_cardinality_error,epoch,step,validation/loss,validation_loss_ce,validation_loss_bbox,validation_loss_giou,validation_cardinality_error
7.817707061767578,2.3421177864074707,0.5030190944671631,1.4802470207214355,58.0,0,4,,,,,
6.12758731842041,2.2375309467315674,0.2901621460914612,1.2196227312088013,66.25,0,9,,,,,
5.8822526931762695,2.136434555053711,0.27625107765197754,1.1822813749313354,52.875,0,14,,,,,
5.291919231414795,2.0392510890960693,0.2392072081565857,1.0283160209655762,69.625,0,19,,,,,
4.89911413192749,1.8503388166427612,0.2144412249326706,0.9882845282554626,50.625,0,24,,,,,
4.748243808746338,1.868564486503601,0.19968904554843903,0.940617024898529,53.375,0,29,,,,,
4.793252944946289,1.8397459983825684,0.22235839068889618,0.9208575487136841,57.75,0,34,,,,,
4.387300968170166,1.8304177522659302,0.16212432086467743,0.8731308579444885,61.375,0,39,,,,,
4.173945426940918,1.8424216508865356,0.17172391712665558,0.7364521026611328,60.75,0,44,,,,,
4.125236988067627,1.6956912279129028,0.1700451672077179,0.7896600365638733,48.25,0,49,,,,,
,,,,,0,52,4.071957111358643,1.7516757249832153,0.1593289077281952,0.7618181705474854,60.28215789794922
4.325143337249756,1.8822076320648193,0.17017816007137299,0.7960224151611328,56.625,1,54,,,,,
4.06069278717041,1.7586346864700317,0.14188705384731293,0.7963114976882935,60.75,1,59,,,,,
3.7500855922698975,1.686065912246704,0.12842746078968048,0.7109411954879761,66.125,1,64,,,,,
4.009632110595703,1.6761950254440308,0.15036189556121826,0.7908138036727905,51.25,1,69,,,,,
3.981391191482544,1.7289936542510986,0.15900595486164093,0.7286838293075562,68.75,1,74,,,,,
3.8823976516723633,1.7386335134506226,0.1561833769083023,0.6814236640930176,54.125,1,79,,,,,
3.848396062850952,1.7555514574050903,0.13008703291416168,0.7212047576904297,55.625,1,84,,,,,
3.4870612621307373,1.751633644104004,0.10572931915521622,0.6033905744552612,60.75,1,89,,,,,
3.563528537750244,1.706506371498108,0.10849636048078537,0.6572702527046204,62.125,1,94,,,,,
3.9130866527557373,1.7688790559768677,0.1498490273952484,0.6974812746047974,52.375,1,99,,,,,
4.207960605621338,1.7071164846420288,0.17534410953521729,0.8120618462562561,57.5,1,104,,,,,
,,,,,1,105,3.7365806102752686,1.683318853378296,0.1342484951019287,0.6910097599029541,54.510372161865234
3.7071948051452637,1.7325419187545776,0.11625517159700394,0.6966885328292847,52.625,2,109,,,,,
3.4999938011169434,1.7513233423233032,0.10330983251333237,0.6160606741905212,64.5,2,114,,,,,
4.355947017669678,1.7866194248199463,0.19491420686244965,0.7973783016204834,54.375,2,119,,,,,
4.111604690551758,1.7425415515899658,0.15596306324005127,0.7946239709854126,45.25,2,124,,,,,
3.992997169494629,1.7570565938949585,0.14455869793891907,0.7565736174583435,46.0,2,129,,,,,
3.814152240753174,1.7005271911621094,0.13958948850631714,0.707838773727417,47.875,2,134,,,,,
3.8653321266174316,1.6318968534469604,0.1450006514787674,0.7542158961296082,49.25,2,139,,,,,
3.582144260406494,1.5790671110153198,0.11619023978710175,0.7110628485679626,41.375,2,144,,,,,
3.889822006225586,1.6169441938400269,0.13589251041412354,0.7967076301574707,31.125,2,149,,,,,
3.998533010482788,1.744547724723816,0.14158788323402405,0.7730230093002319,41.125,2,154,,,,,
,,,,,2,158,3.6415793895721436,1.6300034523010254,0.12918667495250702,0.6828214526176453,49.71161651611328
3.483260154724121,1.7013424634933472,0.09689050167798996,0.6487324833869934,54.0,3,159,,,,,
3.5921459197998047,1.665698766708374,0.12251782417297363,0.656929075717926,51.75,3,164,,,,,
3.6638054847717285,1.6384468078613281,0.12989351153373718,0.6879456043243408,50.625,3,169,,,,,
3.866053342819214,1.7494101524353027,0.12804700434207916,0.7382041215896606,40.0,3,174,,,,,
3.59090256690979,1.6385685205459595,0.12993541359901428,0.651328444480896,64.5,3,179,,,,,
3.7832207679748535,1.664419174194336,0.13506963849067688,0.7217265963554382,43.75,3,184,,,,,
3.615164041519165,1.5120666027069092,0.13350483775138855,0.7177866697311401,39.75,3,189,,,,,
4.038781642913818,1.733465313911438,0.15347698330879211,0.7689656615257263,54.25,3,194,,,,,
3.350522041320801,1.5813117027282715,0.10861033946275711,0.613079309463501,55.625,3,199,,,,,
3.270935297012329,1.5883086919784546,0.0908442959189415,0.614202618598938,50.0,3,204,,,,,
3.7970705032348633,1.5121359825134277,0.14057579636573792,0.7910277843475342,36.5,3,209,,,,,
,,,,,3,211,3.423389196395874,1.531578779220581,0.12075956165790558,0.6440064311027527,43.22199249267578
3.3711657524108887,1.539544701576233,0.10789458453655243,0.646074116230011,47.875,4,214,,,,,
2.8005011081695557,1.4244859218597412,0.07454637438058853,0.5016416311264038,49.0,4,219,,,,,
3.599954605102539,1.6059787273406982,0.13580010831356049,0.6574876308441162,38.75,4,224,,,,,
3.40328311920166,1.5078802108764648,0.10755705088376999,0.6788087487220764,36.625,4,229,,,,,
3.1955246925354004,1.4999638795852661,0.10136724263429642,0.594362199306488,41.875,4,234,,,,,
3.8037993907928467,1.507737398147583,0.15299586951732635,0.7655413150787354,43.5,4,239,,,,,
2.966771125793457,1.4515461921691895,0.08164063841104507,0.5535109043121338,53.5,4,244,,,,,
3.249195098876953,1.4459125995635986,0.10200273245573044,0.6466343998908997,44.625,4,249,,,,,
3.1244959831237793,1.3677170276641846,0.10278894007205963,0.6214171051979065,38.875,4,254,,,,,
3.8355398178100586,1.755350947380066,0.15058204531669617,0.6636393666267395,48.625,4,259,,,,,
3.201941728591919,1.5068634748458862,0.0978982150554657,0.6027935743331909,47.75,4,264,,,,,
,,,,,4,264,3.394378900527954,1.489116907119751,0.12321902811527252,0.644582986831665,46.25726318359375
3.546893835067749,1.5529654026031494,0.12972263991832733,0.6726576089859009,53.0,5,269,,,,,
3.1551272869110107,1.5658499002456665,0.08990494161844254,0.5698763132095337,58.0,5,274,,,,,
2.9953713417053223,1.53073251247406,0.07681060582399368,0.5402929782867432,41.0,5,279,,,,,
4.258565902709961,1.6566561460494995,0.19393746554851532,0.8161112070083618,30.375,5,284,,,,,
3.42661714553833,1.4866269826889038,0.11730660498142242,0.6767285466194153,40.375,5,289,,,,,
3.510082721710205,1.4019886255264282,0.12990780174732208,0.7292776107788086,33.0,5,294,,,,,
3.5904603004455566,1.4783188104629517,0.13910123705863953,0.7083175778388977,37.375,5,299,,,,,
